split,tier,method,metric,mean,median,standard_deviation,systems
truth90_validation,all,Linear,Phys.ligand_environment_overlap_violations,2.656111111111111,1.43125,3.4092705756953534,90
truth90_validation,all,QField-Dyn,Phys.ligand_self_overlap_violations,0.01513888888888889,0.0,0.11860753495063531,90
truth90_validation,all,Linear,Phys.ligand_self_overlap_violations,0.11847222222222221,0.0,0.3722616676743999,90
truth90_validation,all,QField-Dyn,Phys.local_configuration_flips,0.03930555555555555,0.0,0.15180978811177434,90
truth90_validation,all,Linear,Phys.local_configuration_flips,0.2625,0.0,0.6443793285799317,90
truth90_validation,all,QField-Dyn,Phys.severe_overlap_mean_squared,0.0002314287293055526,0.0,0.0009741856631987547,90
truth90_validation,all,Linear,Phys.severe_overlap_mean_squared,0.011572003015484777,0.004262223758879132,0.015324530303939111,90
truth90_validation,all,QField-Dyn,Phys_common_heavy.angle_mean_squared_excess,6.34443036321377e-05,2.2928887866259413e-07,0.0002606246427340219,90
truth90_validation,all,Linear,Phys_common_heavy.angle_mean_squared_excess,0.08311056806554085,0.02645408372676588,0.1312383283292541,90
truth90_validation,all,NeuralMD,Phys_common_heavy.angle_mean_squared_excess,0.0007647127570879392,0.0,0.004942244265424388,90
truth90_validation,all,QField-Dyn,Phys_common_heavy.angle_violations,2.8988888888888886,1.05,5.584146790761686,90
truth90_validation,all,Linear,Phys_common_heavy.angle_violations,15.92513888888889,11.8,14.50036764528647,90
truth90_validation,all,NeuralMD,Phys_common_heavy.angle_violations,1.0066666666666666,0.0,2.4044676931995674,90
